collageID,branchID,deptID,positionID,fname,lname,gender,age,qualification,contact_add,emp_email,emp_pass
1,NULL,1,1,Getnet,Mulat,Male,34,MSC,12,get@eic.com,Admin@123
1,NULL,1,1,dfsdfs,sgdg,Female,55,gdfgd,5,superadmin@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,55,MSC,3,superadmin@eic.com,Admin@123
1,NULL,1,1,Girma,Wakene,Female,32,BSc,6,girma@eic.com,Admin@123
1,NULL,1,1,Kereyou,Admin,Female,38,pHD,6,kkk@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,38.3,MSC,3.1,get@eic.com,Admin@123
1,NULL,1,1,dfsdfs,sgdg,Female,36.8,gdfgd,2,superadmin@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,35.3,MSC,0.9,superadmin@eic.com,Admin@123
1,NULL,1,1,Girma,Wakene,Female,33.8,BSc,-0.2,girma@eic.com,Admin@123
1,NULL,1,1,Kereyou,Admin,Female,32.3,pHD,-1.3,kkk@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,30.8,MSC,-2.4,get@eic.com,Admin@123
1,NULL,1,1,dfsdfs,sgdg,Female,29.3,gdfgd,-3.5,superadmin@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,27.8,MSC,-4.6,superadmin@eic.com,Admin@123
1,NULL,1,1,Girma,Wakene,Female,26.3,BSc,-5.7,girma@eic.com,Admin@123
1,NULL,1,1,Kereyou,Admin,Female,24.8,pHD,-6.8,kkk@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,23.3,MSC,-7.9,get@eic.com,Admin@123
1,NULL,1,1,dfsdfs,sgdg,Female,21.8,gdfgd,-9,superadmin@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,20.3,MSC,-10.1,superadmin@eic.com,Admin@123
1,NULL,1,1,Girma,Wakene,Female,18.8,BSc,-11.2,girma@eic.com,Admin@123
1,NULL,1,1,Kereyou,Admin,Female,17.3,pHD,-12.3,kkk@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,15.8,MSC,-13.4,get@eic.com,Admin@123
1,NULL,1,1,dfsdfs,sgdg,Female,14.3,gdfgd,-14.5,superadmin@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,12.8,MSC,-15.6,superadmin@eic.com,Admin@123
1,NULL,1,1,Girma,Wakene,Female,11.3,BSc,-16.7,girma@eic.com,Admin@123
1,NULL,1,1,Kereyou,Admin,Female,9.8,pHD,-17.8,kkk@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,8.3,MSC,-18.9,get@eic.com,Admin@123
1,NULL,1,1,dfsdfs,sgdg,Female,6.8,gdfgd,-20,superadmin@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,5.3,MSC,-21.1,superadmin@eic.com,Admin@123
1,NULL,1,1,Girma,Wakene,Female,3.8,BSc,-22.2,girma@eic.com,Admin@123
1,NULL,1,1,Kereyou,Admin,Female,2.3,pHD,-23.3,kkk@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,0.8,MSC,-24.4,get@eic.com,Admin@123
1,NULL,1,1,dfsdfs,sgdg,Female,-0.7,gdfgd,-25.5,superadmin@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,-2.2,MSC,-26.6,superadmin@eic.com,Admin@123
1,NULL,1,1,Girma,Wakene,Female,-3.7,BSc,-27.7,girma@eic.com,Admin@123
1,NULL,1,1,Kereyou,Admin,Female,-5.2,pHD,-28.8,kkk@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,-6.7,MSC,-29.9,get@eic.com,Admin@123
1,NULL,1,1,dfsdfs,sgdg,Female,-8.2,gdfgd,-31,superadmin@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,-9.7,MSC,-32.1,superadmin@eic.com,Admin@123
1,NULL,1,1,Girma,Wakene,Female,-11.2,BSc,-33.2,girma@eic.com,Admin@123
1,NULL,1,1,Kereyou,Admin,Female,-12.7,pHD,-34.3,kkk@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,-14.2,MSC,-35.4,get@eic.com,Admin@123
1,NULL,1,1,dfsdfs,sgdg,Female,-15.7,gdfgd,-36.5,superadmin@eic.com,Admin@123
1,NULL,1,1,Getnet,Mulat,Male,-17.2,MSC,-37.6,superadmin@eic.com,Admin@123
